,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
104,1498,1000,modis,lst_day_1km,2,1,2,306.9,0.1799999999999784,1,
105,4287,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
106,1976,1000,modis,lst_day_1km,2,1,3,309.26666666666665,3.0538427522640355,1,
107,1243,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
108,4970,1000,modis,lst_day_1km,1,1,1,307.40000000000003,0.0,1,
109,3964,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
110,4144,1000,modis,lst_day_1km,1,1,3,306.08666666666664,0.18061622912191957,1,
111,1946,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
112,669,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
113,4892,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
114,1159,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
115,1018,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
116,3547,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
117,320,1000,modis,lst_day_1km,1,1,2,316.28,0.7199999999999989,1,
118,268,1000,modis,lst_day_1km,1,1,2,302.81,0.06999999999999318,1,
119,547,1000,modis,lst_day_1km,1,1,3,314.8666666666667,1.0194551921928148,1,
120,4414,1000,modis,lst_day_1km,1,1,2,302.96000000000004,0.03999999999999204,1,
121,3531,1000,modis,lst_day_1km,1,1,3,314.67333333333335,0.8980472642845114,1,
122,138,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
123,3473,1000,modis,lst_day_1km,1,1,1,302.22,0.0,1,
124,5001,1000,modis,lst_day_1km,1,1,3,302.35999999999996,1.2454717981552228,1,
125,3734,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
126,1131,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
127,1955,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
128,5135,1000,modis,lst_day_1km,2,1,2,313.32,0.2400000000000091,1,
129,406,1000,modis,lst_day_1km,2,1,2,303.34000000000003,0.020000000000010232,1,
130,1904,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
131,467,1000,modis,lst_day_1km,2,1,2,301.76,0.5200000000000102,1,
132,3653,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
133,2610,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
134,3052,1000,modis,lst_day_1km,2,1,2,298.48,0.6200000000000045,1,
135,989,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
136,3452,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
137,3303,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
138,3305,1000,modis,lst_day_1km,2,1,2,307.95000000000005,0.5900000000000034,1,
139,2886,1000,modis,lst_day_1km,2,1,2,297.49,0.009999999999990905,1,
140,2365,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
141,2345,1000,modis,lst_day_1km,2,1,2,309.59000000000003,0.010000000000019327,1,
142,4839,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
143,4686,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
144,160,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
145,2295,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
146,187,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
147,1487,1000,modis,lst_day_1km,1,1,3,309.55333333333334,0.14636332266733498,1,
148,854,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
149,3688,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
150,4425,1000,modis,lst_day_1km,2,1,2,312.17,0.8100000000000023,1,
151,3276,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
152,1197,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
153,4706,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
154,2810,1000,modis,lst_day_1km,2,1,2,307.62,0.0,1,
155,4269,1000,modis,lst_day_1km,2,1,3,307.97333333333336,1.0153926443609065,1,
156,3055,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
157,2959,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
158,571,1000,modis,lst_day_1km,2,1,1,304.40000000000003,0.0,1,
159,3025,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
160,509,1000,modis,lst_day_1km,2,1,2,307.53,0.6699999999999875,1,
161,2140,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
162,3843,1000,modis,lst_day_1km,2,1,2,300.46000000000004,0.020000000000010232,1,
163,4460,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
164,3736,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
165,2920,1000,modis,lst_day_1km,2,1,2,309.6,0.3199999999999932,1,
166,1267,1000,modis,lst_day_1km,2,1,3,312.8333333333333,0.12036980056843899,1,
167,4206,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
168,140,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
