,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
111,1167,1000,earthenvhabhet,coefficient_variation,1,1,2,2066.0,245.0,0,
112,4227,1000,earthenvhabhet,coefficient_variation,1,1,2,714.0,126.0,0,
113,2627,1000,earthenvhabhet,coefficient_variation,1,1,3,800.0,106.44560426183256,0,
114,1145,1000,earthenvhabhet,coefficient_variation,1,1,2,1262.0,662.0,0,
115,416,1000,earthenvhabhet,coefficient_variation,1,1,2,807.0,55.0,0,
116,1524,1000,earthenvhabhet,coefficient_variation,1,1,2,616.5,136.5,0,
117,3690,1000,earthenvhabhet,coefficient_variation,1,1,3,849.0,98.69481580441126,0,
118,4518,1000,earthenvhabhet,coefficient_variation,1,1,2,862.5,96.5,0,
119,87,1000,earthenvhabhet,coefficient_variation,1,1,2,728.5,82.5,0,
120,4406,1000,earthenvhabhet,coefficient_variation,1,1,2,970.0,66.0,0,
121,2199,1000,earthenvhabhet,coefficient_variation,1,1,2,707.5,43.5,0,
122,1484,1000,earthenvhabhet,coefficient_variation,1,1,2,1023.5,165.5,0,
123,3001,1000,earthenvhabhet,coefficient_variation,1,1,2,661.5,114.5,0,
124,4,1000,earthenvhabhet,coefficient_variation,1,1,3,1256.0,135.66380013351633,0,
125,6,1000,earthenvhabhet,coefficient_variation,1,1,2,911.0,18.0,0,
126,289,1000,earthenvhabhet,coefficient_variation,1,1,3,1018.3333333333334,188.52821775238021,0,
127,2278,1000,earthenvhabhet,coefficient_variation,1,1,2,1501.5,254.5,0,
128,2125,1000,earthenvhabhet,coefficient_variation,1,1,2,1151.0,100.0,0,
129,3630,1000,earthenvhabhet,coefficient_variation,1,1,3,573.3333333333334,88.1375188113565,0,
130,3575,1000,earthenvhabhet,coefficient_variation,1,1,2,1574.5,312.5,0,
131,2074,1000,earthenvhabhet,coefficient_variation,1,1,2,475.5,39.5,0,
132,3525,1000,earthenvhabhet,coefficient_variation,1,1,2,1295.0,207.0,0,
133,2762,1000,earthenvhabhet,coefficient_variation,1,1,1,1239.0,0.0,0,
134,3665,1000,earthenvhabhet,coefficient_variation,1,1,3,1183.6666666666667,95.3041913500602,0,
135,2707,1000,earthenvhabhet,coefficient_variation,1,1,1,847.0,0.0,0,
136,3564,1000,earthenvhabhet,coefficient_variation,1,1,4,880.5,119.52091867116819,0,
137,527,1000,earthenvhabhet,coefficient_variation,1,1,3,1493.0,45.43860326491855,0,
138,1747,1000,earthenvhabhet,coefficient_variation,1,1,2,1308.5,77.5,0,
139,3468,1000,earthenvhabhet,coefficient_variation,1,1,2,1100.5,36.5,0,
140,1986,1000,earthenvhabhet,coefficient_variation,1,1,2,1111.0,159.0,0,
141,1342,1000,earthenvhabhet,coefficient_variation,1,1,3,637.6666666666666,25.32894698868383,0,
142,5049,1000,earthenvhabhet,coefficient_variation,1,1,3,1076.6666666666667,115.73629028480605,0,
143,2821,1000,earthenvhabhet,coefficient_variation,1,1,2,1204.5,50.5,0,
144,529,1000,earthenvhabhet,coefficient_variation,1,1,2,929.0,29.0,0,
145,3732,1000,earthenvhabhet,coefficient_variation,1,0,0,,,0,Values masked using quality control flag.
146,484,1000,earthenvhabhet,coefficient_variation,1,1,3,1504.0,488.26495539478015,0,
147,351,1000,earthenvhabhet,coefficient_variation,1,1,2,688.5,192.5,0,
148,1727,1000,earthenvhabhet,coefficient_variation,1,1,2,627.5,16.5,0,
149,4787,1000,earthenvhabhet,coefficient_variation,1,1,3,930.0,113.24310133513653,0,
150,2877,1000,earthenvhabhet,coefficient_variation,1,1,2,485.0,26.0,0,
