system:index,date,id,lat,lng,value,.geo
00000000000000000690,2016-04-18,1681,39.2683112,-123.7544632,0.29202320351938255,
00000000000000000b1d,2016-04-18,2846,33.548517,-111.896105,0.39098694006134865,
00000000000000000db8,2016-04-18,3513,39.1772162,-121.1005178,0.3476687027789911,
00000000000000001a35,2016-04-18,6710,33.6887448,-117.6239891,0.3602770728405623,
000000000000000001a7,2016-04-19,424,47.12534713745117,-122.4837425,0.32696531237762727,
00000000000000001803,2016-04-19,6148,48.4418994,-123.5673952,0.4490664652481986,
00000000000000001b9b,2016-04-19,7068,35.835984,-116.223549,0.3786786329692486,
000000000000000024bc,2016-04-19,9405,34.8945979,-111.8669565,0.22129209215459855,
00000000000000000d72,2016-04-20,3443,33.2682804,-111.9929566,0.1797680114112482,
00000000000000000f5e,2016-04-20,3935,47.7321077,-122.3271847,0.4423633352742936,
0000000000000000167b,2016-04-20,5756,33.687037,-117.397965,0.46440972713559475,
000000000000000020c2,2016-04-20,8387,33.23958969116211,-117.334577,0.3415135280432643,
00000000000000002589,2016-04-20,9610,34.635607,-111.900985,0.3775426486586114,
0000000000000000001c,2016-04-21,29,47.3955413,-122.1136594,0.4299318278816272,
00000000000000000085,2016-04-21,134,32.3068431,-110.9014834,0.2574108744763749,
000000000000000009da,2016-04-21,2523,38.5557746887207,-121.3550663,0.2327827621655627,
00000000000000000e16,2016-04-21,3607,48.803186,-123.27613830566406,0.20825984220683383,
00000000000000001657,2016-04-21,5720,33.863528,-116.949625,0.29895498834760387,
0000000000000000196c,2016-04-21,6509,58.3065992,-134.4294626,0.3106116075990059,
00000000000000001a4f,2016-04-21,6736,34.747115,-112.027871,0.1888370943192624,
00000000000000001aa0,2016-04-21,6817,33.5557549,-117.7591963,0.299089591194009,
00000000000000001d9e,2016-04-21,7583,33.7749381,-118.2960606,0.12252333264511672,
000000000000000000c3,2016-04-22,196,39.11429977416992,-121.04010009765625,0.3956431205926192,
00000000000000000e5b,2016-04-22,3676,32.221692,-111.033938,0.1333549620784755,
000000000000000000c2,2016-04-23,195,47.9116823,-122.5346375,0.23500853517721196,
000000000000000004e7,2016-04-23,1256,33.5966134,-117.7103144,0.3405414871199344,
00000000000000000728,2016-04-23,1833,38.030826568603516,-122.551044,0.36197950310441374,
00000000000000000bbd,2016-04-23,3006,48.425025939941406,-123.500363,0.258843489104545,
000000000000000010ef,2016-04-23,4336,33.1317564,-117.1426517,0.288678545479752,
00000000000000001433,2016-04-23,5172,33.7984073,-117.7716136,0.47327009850146284,
00000000000000001887,2016-04-23,6280,34.186185,-118.4976732,0.23890987026981364,
00000000000000001907,2016-04-23,6408,48.8706948,-123.3190165,0.35175017901481065,
00000000000000001a9d,2016-04-23,6814,38.7735585,-121.0294247,0.33959868599399123,
00000000000000001d21,2016-04-23,7458,36.438889,-118.08001708984375,0.253961753479726,
0000000000000000201b,2016-04-23,8220,44.5673884,-123.3320045,0.5201701891467886,
0000000000000000215f,2016-04-23,8544,38.0364645,-122.7489996,0.3615970178866609,
00000000000000002391,2016-04-23,9106,36.5784327,-118.8945794,0.23446330280566052,
0000000000000000038e,2016-04-24,911,38.4673161,-123.0479264,0.4492772356472465,
00000000000000000909,2016-04-24,2314,34.27299880981445,-118.045068,0.24347644370807758,
00000000000000000a7f,2016-04-24,2688,32.4176822,-110.9886825,0.24963144155509237,
00000000000000001f92,2016-04-24,8083,34.214659,-118.14525604248047,0.24237237631685685,
00000000000000002048,2016-04-24,8265,45.4985019,-122.8404629,0.4887046014828035,
000000000000000022b7,2016-04-24,8888,34.3037223815918,-117.464955,0.2606971936829968,
00000000000000002311,2016-04-24,8978,33.7396996,-116.6909409,0.286220232923394,
00000000000000002392,2016-04-24,9107,49.2671376,-122.7174783,0.47765198438785633,
00000000000000002636,2016-04-24,9783,34.1166012,-118.1465864,0.4035964472256902,
0000000000000000012f,2016-04-25,304,48.6691305,-123.4151047,0.4239073782225672,
00000000000000000165,2016-04-25,358,39.0235571,-122.9208675,0.3326102884347533,
