system:index,date,id,lat,lng,value,.geo
00000000000000000150,2013-01-16,337,37.0032008,-122.1401644,0.5100305467671931,
0000000000000000029b,2013-01-16,668,34.2341512,-118.8783951,0.2469908293940783,
00000000000000001f7c,2013-01-16,8061,37.4143994,-122.143169,0.32338296440209074,
000000000000000026f0,2013-01-16,9969,45.2469448,-123.1091666,0.2757828301204993,
00000000000000000ae6,2013-01-17,2791,36.8967045,-113.9229903,0.14007549987574236,
00000000000000000f00,2013-01-17,3841,48.4446323,-123.3245373,0.29440058863314855,
0000000000000000161b,2013-01-17,5660,33.781733,-111.8442911,0.19944778128504928,
0000000000000000169e,2013-01-17,5791,34.0392857,-117.1722591,0.19003765373904372,
000000000000000016c6,2013-01-17,5831,33.3568966,-111.8674922,0.05196608653262683,
000000000000000019d9,2013-01-17,6618,33.3566995,-111.9198704,0.2191842106153812,
00000000000000001fda,2013-01-17,8155,40.1563601,-122.2062278,0.48495141851510554,
00000000000000002438,2013-01-17,9273,33.4230548,-111.7097438,0.15430141704965974,
000000000000000006fd,2013-01-19,1790,49.1147462,-121.9725871,0.3990712979880616,
0000000000000000082c,2013-01-19,2093,33.661991119384766,-112.35276794433594,0.20208805479855277,
000000000000000009fc,2013-01-19,2557,34.0457898,-118.4098687,0.4417090297879109,
00000000000000000c83,2013-01-19,3204,46.18782043457031,-123.840253,0.1818391361818236,
0000000000000000130a,2013-01-19,4875,48.394674,-123.6183398,0.3870159981888844,
000000000000000017e3,2013-01-19,6116,33.2121643,-111.8889078,0.31356680714946766,
00000000000000001955,2013-01-19,6486,34.26702880859375,-118.38674926757812,0.22069522729830612,
00000000000000001b41,2013-01-19,6978,33.6864748,-117.9405834,0.2001516065696207,
00000000000000002447,2013-01-19,9288,42.4280974,-124.3991911,0.354195924234605,
00000000000000000252,2013-01-20,595,34.0334854,-118.4162201,0.26427646631534596,
000000000000000002c9,2013-01-20,714,34.634856,-120.034204,0.33254584021810923,
00000000000000000e5a,2013-01-20,3675,35.346839904785156,-120.8387680053711,0.3793947755882823,
0000000000000000125b,2013-01-20,4700,33.64297866821289,-117.6820068359375,0.34494270703644436,
00000000000000001511,2013-01-20,5394,38.5744743,-121.3551307,0.25279962345207835,
00000000000000001f40,2013-01-20,8001,33.5504617,-117.7084208,0.24620470078298132,
000000000000000005c0,2013-01-21,1473,34.1577035,-117.6668015,0.31162405932284326,
00000000000000000645,2013-01-21,1606,49.255741119384766,-123.12344360351562,0.21773623220739804,
000000000000000006b3,2013-01-21,1716,33.7897409,-116.9956398,0.3051845751447975,
00000000000000000852,2013-01-21,2131,35.1223133,-120.5786614,0.21820381515066492,
00000000000000000b84,2013-01-21,2949,37.421409606933594,-122.0704116821289,0.1049410722754269,
00000000000000000beb,2013-01-21,3052,34.3875698,-118.4985512,0.25095048239223244,
000000000000000010ab,2013-01-21,4268,38.081199645996094,-122.25650787353516,0.22560437747583534,
0000000000000000148e,2013-01-21,5263,40.9717898,-124.0358913,0.4180925924377248,
00000000000000001faa,2013-01-21,8107,38.0977868,-122.1522741,0.3693531849531318,
000000000000000020bb,2013-01-21,8380,36.9412657,-121.4320097,0.3153798324999682,
0000000000000000240f,2013-01-21,9232,46.1896063,-123.8346794,0.16556942087111348,
000000000000000000ee,2013-01-22,239,37.5919467,-122.345078,0.22916446552315622,
00000000000000000752,2013-01-22,1875,34.0421519,-117.1884584,0.20845467708274326,
00000000000000001265,2013-01-22,4710,34.413935,-119.557932,0.24755371227061038,
0000000000000000157b,2013-01-22,5500,34.1284232,-117.193371,0.26752080278706575,
0000000000000000181a,2013-01-22,6171,48.5960597,-123.393727,0.3039851509990741,
00000000000000002105,2013-01-22,8454,45.2296896,-123.1878948,0.28946139121701975,
000000000000000004c0,2013-01-24,1217,45.4772555,-122.8570175,0.4586100045756899,
000000000000000012dc,2013-01-24,4829,37.85089111328125,-122.47928619384766,0.19702334569902724,
00000000000000001552,2013-01-24,5459,33.4230548,-111.7097438,0.15430141704965974,
000000000000000018b8,2013-01-24,6329,33.602149963378906,-117.27458190917969,0.21127022552101055,
00000000000000002029,2013-01-24,8234,45.207321,-123.244418,0.2624011186368614,
000000000000000007cf,2013-01-25,2000,34.2810694,-114.0700933,0.11667122999263888,
00000000000000001957,2013-01-25,6488,34.2491377,-118.2537997,0.23297121811610721,
00000000000000001e40,2013-01-25,7745,45.2209844,-123.0765724,0.30298879222563213,
00000000000000000704,2013-01-26,1797,48.5983803,-123.4700632,0.4742923668969871,
00000000000000000e86,2013-01-26,3719,34.3915239,-119.4761467,0.18384788245945913,
00000000000000001007,2013-01-26,4104,34.65771484375,-120.429112,0.3618628452745786,
00000000000000001259,2013-01-26,4698,37.719843,-122.3784166,0.020009263394086322,
000000000000000013f4,2013-01-26,5109,39.0379921,-122.7630428,0.12568604758335067,
0000000000000000054b,2013-01-27,1356,38.8769164,-121.2943527,0.25699643624221735,
00000000000000000b61,2013-01-27,2914,33.921531677246094,-118.17452239990234,0.5872663017744179,
00000000000000001703,2013-01-27,5892,39.6976775,-121.9132233,0.2857516181814131,
000000000000000018e0,2013-01-27,6369,32.9773481,-115.5472429,0.3495880665008373,
000000000000000019ad,2013-01-27,6574,33.8078748,-111.9033962,0.17603932168477301,
00000000000000001ede,2013-01-27,7903,37.8790013,-122.0898361,0.31795919206551204,
0000000000000000209a,2013-01-27,8347,31.4667394,-110.2824783,0.18379164525851838,
000000000000000000a9,2013-01-28,170,48.4103064,-123.3370565,0.27653987979710287,
00000000000000000415,2013-01-28,1046,33.6491042,-117.9501945,0.04337696111713748,
000000000000000008a2,2013-01-28,2211,48.4616688,-123.4066973,0.27342513956241277,
00000000000000000562,2013-01-29,1379,37.769569396972656,-122.46134948730469,0.31846641025658007,
00000000000000000ac8,2013-01-29,2761,38.8294824,-121.2546444,0.42083773093184323,
00000000000000000d96,2013-01-29,3479,33.5546283,-111.6221237,0.10064529490014253,
000000000000000013ef,2013-01-29,5104,33.7617383,-116.4241791,0.2443695850956035,
00000000000000001ee7,2013-01-29,7912,33.9684202,-117.983551,0.23677968101054309,
00000000000000002606,2013-01-29,9735,33.46862030029297,-111.61305236816406,0.19542110438375995,
000000000000000026cb,2013-01-29,9932,31.6130239,-111.0478842,0.12476820130667728,
00000000000000000a50,2013-01-30,2641,37.606677,-120.96009826660156,0.20163369659842287,
00000000000000000ee8,2013-01-30,3817,37.0032008,-122.1401644,0.5100305467671931,
000000000000000012d8,2013-01-30,4825,39.1646402,-121.7475915,0.372552791112674,
00000000000000001514,2013-01-30,5397,40.2874876,-123.8012323,0.31558811362148337,
00000000000000001880,2013-01-30,6273,38.0612026,-122.5123215,0.11458861289807887,
00000000000000000488,2013-01-31,1161,39.2981322,-123.1083512,0.24591411755663883,
00000000000000001650,2013-01-31,5713,49.2289767,-123.2009196,0.30201080403975666,
0000000000000000188a,2013-01-31,6283,48.4446323,-123.3245373,0.29440058863314855,
00000000000000001ad3,2013-01-31,6868,23.4519475,-110.2285337,,
000000000000000002d4,2013-02-01,725,34.0688202,-118.4422376,0.328103847852054,
000000000000000002d6,2013-02-01,727,32.6751084,-117.1682239,0.09479929725843816,
0000000000000000080a,2013-02-01,2059,44.583177,-123.276734,0.3195404263652002,
000000000000000009c8,2013-02-01,2505,49.37296676635742,-123.292598,0.3729367555887036,
00000000000000000ee6,2013-02-01,3815,34.4194428,-119.85671997070312,0.1809924375482433,
00000000000000001434,2013-02-01,5173,38.1344158,-122.5740628,0.38332255351898037,
00000000000000001c0f,2013-02-01,7184,34.5987018,-112.414341,0.18806281489542953,
00000000000000000072,2013-02-02,115,38.5787477,-121.3413772,0.2840459195294884,
0000000000000000121b,2013-02-02,4636,37.69282150268555,-122.44689178466797,0.3924113394886632,
00000000000000000762,2013-02-03,1891,45.52500915527344,-122.6216812133789,0.2543189732295536,
00000000000000000d5e,2013-02-03,3423,37.635492,-122.427821,0.7072716152874726,
00000000000000001bd4,2013-02-03,7125,32.3171674,-110.9840155,0.16258515989945116,
0000000000000000220d,2013-02-03,8718,42.0477072,-122.6004159,0.22700241778489377,
000000000000000022a6,2013-02-03,8871,48.0880013,-122.8786011,0.38846731081015107,
00000000000000002609,2013-02-03,9738,33.9775505065918,-118.0850830078125,0.20007034422665484,
0000000000000000066d,2013-02-04,1646,34.1333339,-118.8527584,0.13204780891938436,
00000000000000001361,2013-02-04,4962,35.318939208984375,-120.31462097167969,0.24569658144995846,
0000000000000000143d,2013-02-05,5182,37.7046277,-121.8493223,0.2544958835491191,
000000000000000015cb,2013-02-05,5580,38.6072732,-121.396656,0.31011047023497434,
00000000000000002377,2013-02-05,9080,44.925659,-123.065522,0.3572857242272192,
00000000000000000851,2013-02-06,2130,49.162069,-123.968486,0.3207528820661167,
