"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",47.5379827,-122.0548857,2017-10-07,0.161,150,165
"Calypte anna",34.78091,-111.7737007,2017-10-09,0.161,150,166
"Calypte anna",36.9594084,-121.7881465,2017-05-04,0.161,150,167
"Calypte anna",37.481676,-122.151535,2015-07-03,0.161,150,168
"Calypte anna",32.7265339,-117.1341008,2013-12-26,0.161,150,169
"Calypte anna",48.4103064,-123.3370565,2013-01-28,0.2,150,170
"Calypte anna",34.1518752,-118.5979564,2017-08-17,0.161,150,171
"Calypte anna",37.924385,-122.509791,2015-10-30,0.161,150,172
"Calypte anna",37.31792,-122.27101,2015-02-15,0.161,150,173
"Calypte anna",33.5564119,-117.1879693,2015-05-04,0.161,150,174
"Calypte anna",40.730498,-124.173057,2016-03-05,0.161,150,175
"Calypte anna",39.5556896,-123.7646905,2013-11-11,0.241,150,176
"Calypte anna",48.8513313,-123.2995605,2014-01-21,0.2,150,177
"Calypte anna",44.5869235,-123.3368647,2014-09-29,0.21,150,178
"Calypte anna",34.2109,-119.013957,2017-01-09,0.161,150,179
"Calypte anna",34.483748,-114.355492,2013-02-10,0.161,150,180
"Calypte anna",37.3651603,-121.7643956,2017-04-01,0.225,150,181
"Calypte anna",49.20525,-124.034413,2017-01-22,0.2,150,182
"Calypte anna",35.0885823,-120.5099733,2017-03-28,0.241,150,183
"Calypte anna",31.4182627,-110.2421808,2015-05-30,0.161,150,184
"Calypte anna",38.3228277,-123.037734,2015-10-16,0.161,150,185
"Calypte anna",38.580838,-122.436639,2016-11-13,0.241,150,186
"Calypte anna",34.4175931,-119.8623097,2016-03-08,0.161,150,187
"Calypte anna",34.441101,-119.875438,2016-12-06,0.161,150,188
"Calypte anna",32.8871589,-112.0372465,2014-04-30,0.161,150,189
"Calypte anna",47.814735,-122.369213,2016-02-23,0.161,150,190
"Calypte anna",37.8975633,-122.709893,2013-10-15,0.161,150,191
"Calypte anna",34.109805,-118.233861,2015-08-29,0.161,150,192
"Calypte anna",38.09342,-122.9141057,2017-04-14,0.161,150,193
"Calypte anna",36.9910919,-121.9288445,2013-06-21,0.241,150,194
"Calypte anna",47.9116823,-122.5346375,2016-04-23,0.161,150,195
"Calypte anna",39.1143,-121.0401,2016-04-22,0.161,150,196
"Calypte anna",33.0172845,-117.2196633,2016-02-12,0.161,150,197
"Calypte anna",32.1218978,-110.488745,2017-02-10,0.241,150,198
"Calypte anna",32.8959947,-117.2296347,2017-05-01,0.161,150,199
"Calypte anna",38.3539746,-121.3396597,2014-01-26,0.161,150,200
"Calypte anna",36.533336,-121.848537,2015-02-07,0.161,150,201
"Calypte anna",33.133582,-117.290626,2016-01-06,0.161,150,202
"Calypte anna",32.822756,-117.141098,2017-03-09,0.161,150,203
"Calypte anna",37.88985,-122.448053,2015-03-24,0.193,150,204
"Calypte anna",33.0199833,-117.0457885,2016-11-17,0.161,150,205
"Calypte anna",33.5424446,-111.9045851,2016-01-10,0.161,150,206
"Calypte anna",38.76834,-120.290309,2014-04-26,0.193,150,207
"Calypte anna",32.225612,-110.957954,2017-12-14,0.161,150,208
"Calypte anna",32.862383,-117.004583,2017-01-03,0.161,150,209
"Calypte anna",35.9334711,-119.6449757,2014-09-28,0.161,150,210
"Calypte anna",38.004778,-122.471771,2016-11-11,0.161,150,211
"Calypte anna",36.825447,-119.8543851,2015-07-05,0.177,150,212
"Calypte anna",47.991217,-122.4259249,2017-04-18,0.161,150,213
"Calypte anna",36.9680324,-121.7982101,2013-10-22,0.161,150,214
"Calypte anna",38.6270297,-121.5089178,2015-05-15,0.161,150,215
"Calypte anna",37.9921831,-121.1889839,2013-10-24,0.161,150,216
"Calypte anna",43.211633,-123.352669,2015-09-30,0.161,150,217
"Calypte anna",38.337203,-122.38829,2016-04-04,0.161,150,218
"Calypte anna",41.0603649,-124.1422677,2015-03-24,0.161,150,219
"Calypte anna",33.57042,-117.2092,2013-04-04,0.161,150,220
"Calypte anna",32.2624882,-116.9893249,2016-12-18,0.161,150,221
"Calypte anna",38.5488367,-121.4840698,2013-04-18,0.161,150,222
"Calypte anna",35.301834,-118.117661,2015-04-21,0.161,150,223
"Calypte anna",34.0315944,-118.5005731,2014-12-20,0.161,150,224
"Calypte anna",33.5512628,-117.2236431,2016-03-08,0.161,150,225
"Calypte anna",33.98746,-117.72942,2017-09-24,0.161,150,226
"Calypte anna",38.3519847,-120.9547788,2015-09-12,0.161,150,227
"Calypte anna",34.345775,-117.9204226,2014-06-24,0.161,150,228
"Calypte anna",42.140216,-122.594187,2015-02-16,0.241,150,229
"Calypte anna",32.2162686,-110.9221101,2016-08-17,0.241,150,230
"Calypte anna",32.33039,-110.79367,2017-10-04,0.241,150,231
