scientificName,decimalLongitude,decimalLatitude
Archilochus colubris,-94.963492,38.75529
Archilochus colubris,-68.209856,44.384082
Archilochus colubris,-92.312,31.312
Archilochus colubris,-83.9919774,33.9947127
Archilochus colubris,-75.81175,45.38136
Archilochus colubris,-80.9999657,43.0639655
Archilochus colubris,-75.1345083,40.2805447
Archilochus colubris,-76.45732,43.041223
Archilochus colubris,-89.4425511,34.3732419
Archilochus colubris,-93.8044935,36.456705
Archilochus colubris,-87.9978275,42.9457662
Archilochus colubris,-96.9826752,50.5447629
Archilochus colubris,-92.9240667,15.8308167
Archilochus colubris,-90.2164328,43.0900461
Archilochus colubris,-75.5474854,42.8175031
Archilochus colubris,-83.921566,32.993332
Archilochus colubris,-84.530084,45.4757886
Archilochus colubris,-74.6123385,46.1501188
Archilochus colubris,-94.1394505,36.0699365
Archilochus colubris,-88.8213544,43.3652921
Archilochus colubris,-64.3334806,45.0657009
Archilochus colubris,-72.5432825,46.3939577
Archilochus colubris,-94.3892848,29.5595014
Archilochus colubris,-84.3433005,34.0531994
Archilochus colubris,-92.2589166,44.7706452
Archilochus colubris,-82.7153778,29.8151785
Archilochus colubris,-86.06644,39.9015
Archilochus colubris,-70.4645866,43.3772688
Archilochus colubris,-89.8393423,45.8863218
Archilochus colubris,-94.9409294,45.9032692
Archilochus colubris,-74.0052366,41.8520297
Archilochus colubris,-83.193932,33.031564
Archilochus colubris,-72.5959826,43.0042078
Archilochus colubris,-83.4181166,35.2658044
Archilochus colubris,-77.3044391,38.7250939
Archilochus colubris,-81.288313,42.910561
Archilochus colubris,-73.721017,42.5965969
Archilochus colubris,-83.0520876,40.0006496
Archilochus colubris,-95.1918702,32.3019676
Archilochus colubris,-77.6248991,39.4749452
Archilochus colubris,-87.6514524,38.06293
Archilochus colubris,-93.3529037,44.9007676
Archilochus colubris,-70.858807,43.1877175
Archilochus colubris,-77.105257,39.099418
Archilochus colubris,-86.2006975,42.8464871
Archilochus colubris,-88.1313801,44.5335331
Archilochus colubris,-82.3241401,28.5379522
Archilochus colubris,-83.2121276,35.1630917
Archilochus colubris,-85.6277052,44.6729013
Archilochus colubris,-83.727859,45.947132
Archilochus colubris,-85.7980514,35.6489929
Archilochus colubris,-84.8017186,45.0865528
Archilochus colubris,-83.393864,46.5088565
Archilochus colubris,-87.00888,39.16386
Archilochus colubris,-89.6073441,45.711336
Archilochus colubris,-97.4930191,34.6086278
Archilochus colubris,-78.7024498,35.9571661
Archilochus colubris,-79.348903,46.331947
Archilochus colubris,-79.448745,37.7653844
Archilochus colubris,-98.1700573,26.2863235
Archilochus colubris,-76.8022361,43.2826553
Archilochus colubris,-89.62749,46.02964
Archilochus colubris,-92.4101927,35.14187
Archilochus colubris,-74.0804243,41.8927578
Archilochus colubris,-95.317163,29.548025
Archilochus colubris,-82.4565232,42.0945285
Archilochus colubris,-85.6175245,32.4774861
Archilochus colubris,-78.630164,35.959898
Archilochus colubris,-112.8216505,53.4504101
Archilochus colubris,-69.7113035,44.7168733
Archilochus colubris,-77.554786,37.646087
Archilochus colubris,-71.3368142,42.3066337
Archilochus colubris,-75.0355081,40.3017466
Archilochus colubris,-73.2597783,41.2062652
Archilochus colubris,-86.1132377,42.7768298
Archilochus colubris,-64.5268679,44.3872895
Archilochus colubris,-90.0381088,43.9050663
Archilochus colubris,-73.0264878,44.3059462
Archilochus colubris,-76.6125041,39.3266848
Archilochus colubris,-75.495037,38.121845
Archilochus colubris,-96.8435686,32.339782
Archilochus colubris,-80.9264145,33.9635849
Archilochus colubris,-77.4084318,42.6190707
Archilochus colubris,-79.1037861,33.4780552
Archilochus colubris,-76.8518114,44.3717091
Archilochus colubris,-93.7313819,37.2203362
Archilochus colubris,-78.137816,35.808298
Archilochus colubris,-86.2027733,42.4093702
Archilochus colubris,-84.336838,46.545201
Archilochus colubris,-81.29549,34.125484
Archilochus colubris,-93.5494316,38.7653273
Archilochus colubris,-90.77587,39.14345
Archilochus colubris,-96.9913816,44.326734
Archilochus colubris,-73.3843267,45.3923626
Archilochus colubris,-75.8251101,41.7044309
