scientificName,decimalLongitude,decimalLatitude
Baeolophus bicolor,-93.755393,38.3740463
Baeolophus bicolor,-83.0265141,41.423872
Baeolophus bicolor,-79.9682164,40.3083185
Baeolophus bicolor,-83.0845571,42.9871638
Baeolophus bicolor,-89.683362,44.831572
Baeolophus bicolor,-76.8502021,40.1871274
Baeolophus bicolor,-81.4337704,28.2727525
Baeolophus bicolor,-81.8315738,43.2556441
Baeolophus bicolor,-80.1745448,39.4188428
Baeolophus bicolor,-78.7942082,39.5601935
Baeolophus bicolor,-72.706681,44.63435
Baeolophus bicolor,-86.30602,36.15007
Baeolophus bicolor,-84.3618894,30.6978128
Baeolophus bicolor,-78.663639,37.2233839
Baeolophus bicolor,-84.0403475,34.5562162
Baeolophus bicolor,-76.114896,38.866029
Baeolophus bicolor,-86.6036716,36.3834209
Baeolophus bicolor,-85.8824176,38.3427796
Baeolophus bicolor,-79.4209385,35.2110541
Baeolophus bicolor,-92.0621815,35.0319357
Baeolophus bicolor,-82.21271,33.777
Baeolophus bicolor,-84.67626,34.061955
Baeolophus bicolor,-76.7479455,40.2574634
Baeolophus bicolor,-97.2385716,32.5872646
Baeolophus bicolor,-81.084881,32.018336
Baeolophus bicolor,-72.1396035,42.096446
Baeolophus bicolor,-80.0104679,40.2543098
Baeolophus bicolor,-89.0974581,40.5055665
Baeolophus bicolor,-95.468343,29.768114
Baeolophus bicolor,-79.4459367,39.8770366
Baeolophus bicolor,-90.7368565,43.2418265
Baeolophus bicolor,-84.1024125,39.8058327
Baeolophus bicolor,-85.092367,32.033582
Baeolophus bicolor,-70.5710806,41.4224559
Baeolophus bicolor,-75.4270139,40.9240113
Baeolophus bicolor,-86.6385781,41.7393979
Baeolophus bicolor,-71.67974,42.98367
Baeolophus bicolor,-75.7309887,39.6980184
Baeolophus bicolor,-80.155214,40.4151218
Baeolophus bicolor,-92.4101927,35.14187
Baeolophus bicolor,-83.1918696,35.1445529
Baeolophus bicolor,-76.7571564,37.2259369
Baeolophus bicolor,-90.4155644,38.2105587
Baeolophus bicolor,-82.6945585,35.6929543
Baeolophus bicolor,-75.0714523,40.8257962
Baeolophus bicolor,-82.161987,36.075068
Baeolophus bicolor,-89.1499376,42.6485108
Baeolophus bicolor,-69.8016679,43.9556648
Baeolophus bicolor,-83.3363762,42.9350084
Baeolophus bicolor,-84.276165,34.145466
Baeolophus bicolor,-76.3193264,38.4797172
Baeolophus bicolor,-74.8195553,43.0363367
Baeolophus bicolor,-75.7816368,42.3340813
Baeolophus bicolor,-74.5757425,39.3349447
Baeolophus bicolor,-77.0609808,40.5042389
Baeolophus bicolor,-77.632377,38.338191
Baeolophus bicolor,-81.2481451,41.6465438
Baeolophus bicolor,-85.1613386,34.8476704
Baeolophus bicolor,-79.26732,40.16338
Baeolophus bicolor,-76.10931,43.941056
Baeolophus bicolor,-78.2799576,37.8926713
Baeolophus bicolor,-96.2433726,30.6384751
Baeolophus bicolor,-98.20555,33.81439
Baeolophus bicolor,-77.4458939,41.1378001
Baeolophus bicolor,-72.0490694,43.8990984
Baeolophus bicolor,-70.82719,43.01933
Baeolophus bicolor,-73.198235,41.651228
Baeolophus bicolor,-83.7434149,34.9399564
Baeolophus bicolor,-84.1680444,35.9389959
Baeolophus bicolor,-79.764101,41.160002
Baeolophus bicolor,-90.8068119,38.8508364
Baeolophus bicolor,-78.3020117,42.736555
Baeolophus bicolor,-70.141755,43.887861
Baeolophus bicolor,-92.7267337,31.3140299
Baeolophus bicolor,-81.70141,41.18842
Baeolophus bicolor,-77.598668,38.968945
