molid,scientificname,date,lng,lat,uncertainty,event_id
4ced15db-4c23-4b2e-bff6-01fcd5c52622,Archilochus colubris,2017-05-05T00:00:00Z,-71.1481449,43.0783276,25000,e4178ca4-e614-4355-b448-1fb27be2744f
524d2ded-5814-4d1e-b0ae-1169b373cb91,Archilochus colubris,2017-04-10T00:00:00Z,-98.132768,30.030182,25000,7051d2e4-0278-4a4a-b8fb-948c7d062552
ab117e71-5a5a-4a1a-af5d-abee9b60fe65,Archilochus colubris,2016-06-17T00:00:00Z,-78.1502671,40.3597669,25000,da25f615-a6f4-4ded-9382-e519fce37c11
66139ac1-2906-45c9-8940-eed9af2494ab,Archilochus colubris,2014-05-14T00:00:00Z,-85.7984483,44.6453075,25000,fbfafd0b-e54f-479e-87f4-f1041db18464
caa2e312-e04c-4530-ba9b-ffbbaddde75d,Archilochus colubris,2015-06-25T00:00:00Z,-84.6506962,42.15585,25000,7b076a40-6c83-43b5-89bc-20ab49401c30
4ab2c31c-61a4-4ad8-a2e2-79e2931185e1,Archilochus colubris,2013-05-18T00:00:00Z,-90.3603515,43.6870248,25000,9ff2f269-bd5f-4e0c-a292-296dc9696390
e97f6089-0e62-407d-bb4a-d46f7cca42af,Archilochus colubris,2016-05-09T00:00:00Z,-91.2559175,34.636633,25000,39442943-317e-4280-9db5-07f985305c7b
2385e965-1b36-43d7-b383-18d223ede4f9,Archilochus colubris,2017-05-08T00:00:00Z,-97.2385716,32.5872646,25000,217a7eaa-1d4f-49aa-b780-d2fc6a7ea6c9
ca6c8dd1-91d7-46de-8647-2629b4c001a0,Archilochus colubris,2014-07-12T00:00:00Z,-71.955983,44.118439,25000,5f1a8e8e-709c-499d-8e08-ec58f0a8508d
eff059b4-295e-4a27-ab78-5e2624aa373c,Archilochus colubris,2013-03-13T00:00:00Z,-97.4107049,27.6939063,25000,5d155cae-9600-452f-b359-104630fba83f
51f01ced-237c-4a15-be5a-3a80ec12f624,Archilochus colubris,2017-06-19T00:00:00Z,-81.939214,37.109396,25000,18e74ffe-328c-494b-acac-bd0d774d9105
b5b9b7a4-d60b-4230-a965-3823721f96d2,Archilochus colubris,2015-09-23T00:00:00Z,-75.3235531,40.9668888,25000,b75f4dc6-9cb8-4859-b271-5df8202aaa95
ac47c7b3-bfbc-469c-b320-679501f802e4,Archilochus colubris,2017-07-06T00:00:00Z,-79.668997,44.64768,25000,d3586e50-762d-417c-9887-1eb3f165a7cc
6d7e7252-38dd-4dba-8617-78db5eb423bc,Archilochus colubris,2016-05-14T00:00:00Z,-86.9159961,30.6278034,25000,b629d38a-33b4-41d0-9d97-05ae373c0bff
2cab056a-f240-40f8-9121-72eac0b95506,Archilochus colubris,2017-05-13T00:00:00Z,-89.1022968,37.6509368,25000,f3fcfdc0-5cc1-4990-9272-e5325e5f6943
6a62b545-6fb2-409e-a4bc-722268b692de,Archilochus colubris,2015-05-22T00:00:00Z,-97.3285761,35.2938879,25000,480144c6-1f99-498e-913b-d58c7eeab46a
5caabcd5-1677-49e3-aaaa-978db876e433,Archilochus colubris,2017-02-26T00:00:00Z,-90.5530713,14.3561359,25000,c4139e69-f172-4d7c-a326-265b1b994d27
c87606d3-4abd-4447-95fe-ffd80daa29cd,Archilochus colubris,2013-08-12T00:00:00Z,-75.2727681,40.4693147,25000,9d3c1783-09f1-4fba-80dd-4fc9b10ce42e
b907905f-5218-4124-bc9c-5595eea1f820,Archilochus colubris,2016-05-01T00:00:00Z,-94.425003,39.407448,25000,c9ecbe60-be3f-4d24-80ce-710917e9b11b
1c644b26-9a73-4bf5-aba8-e9f69c18b432,Archilochus colubris,2016-09-24T00:00:00Z,-71.1569973,43.240979,25000,3f8a1341-f09e-46f4-933c-732dd88778cb
8e6e1dfa-9e6c-47b4-9deb-fe14467db440,Archilochus colubris,2017-08-01T00:00:00Z,-74.407471,42.1186052,25000,91440ee6-beea-451b-9b33-42452035d5eb
a4ce4aef-b166-447e-967e-4aeae4454d10,Archilochus colubris,2014-05-06T00:00:00Z,-74.602589,39.482054,25000,f39a6330-af20-486d-834a-77e9a28c2671
ea951a48-08b6-4ed1-8b3b-3c18c635a118,Archilochus colubris,2015-09-30T00:00:00Z,-80.1349792,26.0097351,25000,c4331048-c419-48d9-ac74-984c8118cc68
